Timestamp,What is your age?,Which nation or region of the UK do you live in?,"The first part of your postcode only, for example SW1A (optional)","Are you currently involved with a youth council, youth group or youth organisation?",What are the top three things you want the government to bring back for young people?,Is there anything else you would bring back that is not on that list?,What is the biggest problem facing young people across the UK today?,"In your own words, why did you choose that for the UK?",What is the biggest problem facing young people across the Commonwealth today?,"In your own words, why did you choose that for the Commonwealth?","Thinking about young people you know, how well is each of these working for young people right now? [Mental health and wellbeing]","Thinking about young people you know, how well is each of these working for young people right now? [Youth services and safe places to go]","Thinking about young people you know, how well is each of these working for young people right now? [Education and curriculum for life]","Thinking about young people you know, how well is each of these working for young people right now? [Jobs, apprenticeships and work experience]","Thinking about young people you know, how well is each of these working for young people right now? [Cost of living and financial security]","Thinking about young people you know, how well is each of these working for young people right now? [Transport and getting around]","Thinking about young people you know, how well is each of these working for young people right now? [Housing and a place to live]","Thinking about young people you know, how well is each of these working for young people right now? [Crime, safety and policing]","Thinking about young people you know, how well is each of these working for young people right now? [Equality, discrimination and racism]","Thinking about young people you know, how well is each of these working for young people right now? [Climate and the environment]","Thinking about young people you know, how well is each of these working for young people right now? [Democracy and youth voice]","Thinking about young people you know, how well is each of these working for young people right now? [Digital life and online safety]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Mental health and wellbeing],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Youth services and safe places to go],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Education and curriculum for life],"How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Jobs, apprenticeships and work experience]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Cost of living and financial security],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Transport and getting around],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Housing and a place to live],"How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Crime, safety and policing]","How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Equality, discrimination and racism]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Climate and the environment],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Democracy and youth voice],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Digital life and online safety],How urgent is each of these for young people over the next twelve months? [Mental health and wellbeing],How urgent is each of these for young people over the next twelve months? [Youth services and safe places to go],How urgent is each of these for young people over the next twelve months? [Education and curriculum for life],"How urgent is each of these for young people over the next twelve months? [Jobs, apprenticeships and work experience]",How urgent is each of these for young people over the next twelve months? [Cost of living and financial security],How urgent is each of these for young people over the next twelve months? [Transport and getting around],How urgent is each of these for young people over the next twelve months? [Housing and a place to live],"How urgent is each of these for young people over the next twelve months? [Crime, safety and policing]","How urgent is each of these for young people over the next twelve months? [Equality, discrimination and racism]",How urgent is each of these for young people over the next twelve months? [Climate and the environment],How urgent is each of these for young people over the next twelve months? [Democracy and youth voice],How urgent is each of these for young people over the next twelve months? [Digital life and online safety],Which of these should the UK push hardest on across the Commonwealth?,"If you could say one thing directly to the Heads of Government, what would it be?",Which of these best describes your gender?,Which of these best describes your ethnic background?,Do you have a disability or a long-term health condition?,Which best describes what you are doing at the moment?,"Have you ever been in care, or are you care experienced?",I have read the privacy notice and I am happy for my answers to be used in this consultation
15/09/2026 10:52:34,19 to 21,West Midlands,B1,Yes,Independent careers advice in every school (a Connexions style service),,"Crime, safety and policing",,Education and curriculum for life,"Young people in some member states cannot finish school because of cost, not ability.",4,2,5,,3,,2,,,,1,,,,10,,,6,5,5,,,10,,9,,,,,9,8,,8,5,,,"Education and curriculum for life, Crime, safety and policing",,Female,Other ethnic group,No,In school or college,No,Yes
17/09/2026 12:20:19,22 to 25,East Midlands,,No,"Community sports facilities, playing fields and free swimming, Funded open-access youth clubs and youth workers in every area, Local libraries and community spaces with longer opening hours",,Youth services and safe places to go,,Education and curriculum for life,Climate change is already displacing people my age in Pacific member states.,2,4,8,7,2,6,2,4,8,7,6,5,10,9,9,6,10,9,10,3,5,8,7,9,8,8,8,5,10,8,5,10,10,8,6,7,"Democracy and youth voice, Education and curriculum for life",,Female,Mixed or multiple ethnic groups,No,Working,No,Yes
16/09/2026 20:58:47,22 to 25,West Midlands,HR1,Yes,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Free or capped bus travel for under-25s, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,Mental health and wellbeing,,"Jobs, apprenticeships and work experience",,6,1,4,6,8,4,3,2,8,3,3,6,10,7,10,3,10,3,10,4,7,8,5,10,10,8,8,9,6,9,7,6,6,5,6,6,"Climate and the environment, Jobs, apprenticeships and work experience",,Female,White,No,Apprenticeship or training,No,Yes
15/09/2026 15:21:39,16 to 18,Yorkshire and the Humber,BD1,No,Cheaper rail travel and a wider young persons railcard,"Youth centres open at weekends, not just weekdays.",Cost of living and financial security,My school had one careers adviser for eight hundred students.,Climate and the environment,,2,0,4,8,3,7,3,3,2,5,7,6,8,10,10,8,9,7,10,5,10,5,10,7,10,8,10,6,10,8,5,8,7,5,8,10,"Crime, safety and policing, Education and curriculum for life",,Male,Mixed or multiple ethnic groups,No,At university,No,Yes
15/09/2026 20:48:17,16 to 18,Isle of Man,IM4,No,"Community sports facilities, playing fields and free swimming, Guaranteed work experience placements for every pupil, Independent careers advice in every school (a Connexions style service)",Free school transport past the age of 16.,Youth services and safe places to go,,Digital life and online safety,,6,1,3,0,5,3,1,6,7,3,4,4,6,10,9,9,10,10,7,8,4,8,8,10,7,7,7,10,7,8,9,7,6,8,6,5,"Crime, safety and policing",Bring back the things that were cut before you announce anything new.,Female,White,No,In school or college,No,Yes
17/09/2026 15:26:23,13 to 15,Yorkshire and the Humber,,Prefer not to say,"Cheaper rail travel and a wider young persons railcard, Independent careers advice in every school (a Connexions style service), Funded national youth voice structures (a British Youth Council style body)",,Climate and the environment,Apprenticeships near me pay so little that you need parents who can support you.,Youth services and safe places to go,,3,4,4,2,7,4,3,6,3,7,4,5,10,8,9,6,7,8,9,7,7,10,5,10,6,7,3,7,10,6,8,10,10,4,4,6,"Crime, safety and policing, Education and curriculum for life",,Female,White,No,In school or college,No,Yes
16/09/2026 14:59:02,22 to 25,Wales,,Prefer not to say,A school nurse and a trained counsellor in every school,,Mental health and wellbeing,You cannot plan a future when you cannot afford anywhere to live.,"Jobs, apprenticeships and work experience","Young people in some member states cannot finish school because of cost, not ability.",4,2,6,6,0,2,2,2,5,3,6,3,10,4,5,9,10,10,8,6,10,7,10,8,10,6,6,9,9,4,8,6,6,4,0,5,"Jobs, apprenticeships and work experience, Climate and the environment",Online harm is not a side issue. It is where we live most of our lives.,Male,White,No,Prefer not to say,No,Yes
18/09/2026 19:14:47,16 to 18,Yorkshire and the Humber,,Yes,"A school nurse and a trained counsellor in every school, Independent careers advice in every school (a Connexions style service)",,Mental health and wellbeing,Everyone I know is choosing between transport to college and lunch.,"Crime, safety and policing",,2,4,3,5,4,2,0,0,5,1,5,6,10,4,5,8,7,6,5,6,8,8,4,9,7,6,6,10,10,7,10,7,3,9,8,7,"Education and curriculum for life, Climate and the environment",,Male,White,Yes,In school or college,Yes,Yes
17/09/2026 16:19:08,22 to 25,Wales,LL30,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Funded open-access youth clubs and youth workers in every area","Youth centres open at weekends, not just weekdays.","Equality, discrimination and racism",,"Jobs, apprenticeships and work experience",Online access decides who gets opportunities and it is very unequal.,4,1,6,8,1,0,1,4,3,0,1,9,10,10,10,8,5,10,10,6,6,10,6,5,7,6,9,8,8,7,2,7,9,8,1,6,"Crime, safety and policing, Cost of living and financial security",,Male,White,No,At university,No,Yes
15/09/2026 11:41:01,19 to 21,Yorkshire and the Humber,BD1,No,"Free or capped bus travel for under-25s, Arts, music and drama in the curriculum, and free or low-cost music tuition, A school nurse and a trained counsellor in every school",,Cost of living and financial security,,"Jobs, apprenticeships and work experience",,5,2,1,6,4,2,2,4,8,6,4,6,7,10,8,7,8,8,5,5,10,8,9,4,10,2,5,9,8,7,10,5,9,4,7,4,"Housing and a place to live, Climate and the environment",,Female,White,No,At university,No,Yes
